,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Rnf138,1.99232657294866e-06,-0.208417162367529,0.044,0.053,0.0517486904057686,0
Zfp808,1.99748684433542e-06,-0.642974679707436,0.01,0.015,0.0518827232947681,0
Pttg1,2.00944966361932e-06,0.458051220305496,0.022,0.016,0.0521934455628483,0
Fmr1,2.01231235789431e-06,-0.161156483005296,0.082,0.094,0.0522678011839468,0
Mpv17l,2.01749477243278e-06,-0.118224047505191,0.045,0.052,0.052402409219169,0
Mcee,2.01999819119395e-06,0.44949738929814,0.022,0.016,0.0524674330180716,0
Spsb1,2.02046321312692e-06,0.238977736005114,0.08,0.071,0.0524795114977585,0
Tmem229b,2.06869730984553e-06,0.657433619405009,0.012,0.008,0.0537323439259279,0
Fastk,2.07221849480125e-06,0.57664078733502,0.016,0.011,0.0538238031839675,0
Grk4,2.08760099025124e-06,-0.362209406404413,0.046,0.057,0.0542233481207856,0
Snapc1,2.0895840296588e-06,0.20692321840906,0.022,0.022,0.0542748555863576,0
Lpcat2,2.08968837193965e-06,-0.175982060230674,0.041,0.049,0.0542775657727605,0
Rpl22l1,2.12286388201544e-06,0.394572324875679,0.028,0.022,0.0551392664714691,0
Caap1,2.12770890099278e-06,-0.119772068688501,0.072,0.082,0.0552651109943864,0
Pmvk,2.1411192733324e-06,0.595544853064163,0.016,0.011,0.0556134320055358,0
Micall1,2.14632603172028e-06,-0.130472926923309,0.129,0.144,0.0557486723479026,0
Cnnm2,2.15226058145535e-06,-0.235544497933173,0.049,0.059,0.0559028163427212,0
Dctn2,2.15256022073416e-06,0.263535429863463,0.053,0.047,0.0559105991733491,0
Ttc19,2.19282313041986e-06,-0.287102164558744,0.032,0.041,0.0569563879895254,0
Cdc42,2.2008535792849e-06,0.20562835296514,0.098,0.089,0.0571649708683459,0
Klhl24,2.23375506761194e-06,-0.134872726109271,0.08,0.092,0.0580195541261524,0
Nipsnap1,2.23987544319357e-06,-0.449042326219979,0.012,0.017,0.0581785247615098,0
Rnmt,2.31281207720411e-06,0.23294680869446,0.024,0.023,0.0600729808932995,0
Amn1,2.32022346734335e-06,-0.159975247870265,0.062,0.073,0.0602654843407763,0
Sobp,2.33235038885958e-06,0.139364773879815,0.036,0.037,0.0605804690002386,0
